trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,9.461223849853082e-05,1.68374205448425e-05,-4.25321968730329e-06,,6.272459891448334e-06,,,2.540558196929554e-05,-4.0799673602611176e-05,-4.5801721351243736e-05,,,-0.00020145551610385032,,,-1.4718003061344637e-05,,-0.0001693400687260156,,,0.0,-6.121824303642486e-06,7.354211941033929e-06,,2.12150720357771e-06,,,,-6.346117233939035e-05,-0.0001008031736741131,-1.850636340533424e-05,,,,4.530011325028313e-06,-3.189690918949954e-05,-0.0004923810511039701,,,,,,,,-0.0001289490651192779,,1.535323404908648e-05,,3.0260848514192338e-05,-4.0308494343374626e-05,-9.663034858685693e-06
2014-01-07,9.114364238039149e-05,-5.468617151740288e-07,-3.0440288330411064e-06,,4.392275843644326e-06,,,-5.828233628908039e-05,6.965867250472684e-05,1.891476027996202e-05,,,-6.632032718028075e-05,,,5.538851084032284e-05,,2.6442294979665875e-05,,,-5.7497038902496525e-06,0.00011892406158104135,-5.083841011345438e-05,,-9.921092704536015e-05,,,,-4.163717366865138e-06,1.4932186541406954e-05,1.1366477983132147e-05,,,,-5.5666889334224e-05,-7.827725263038561e-05,-0.0003058611095756638,,,,,,,,-6.28044483931252e-05,,-4.3621860783947154e-05,,-3.785763635847396e-05,0.0,9.697629211006772e-06
2014-01-08,-4.731208232302324e-05,-7.400206044233945e-05,-2.221850318661191e-05,,-2.3413429802592315e-05,,,6.51614374613104e-06,0.00013064142867807464,-3.4656417626751958e-06,,,-8.787037362482866e-05,,,-1.107493299665537e-05,,-1.1291492707106508e-05,,,-8.642892949127932e-06,-4.7858339315625756e-05,-1.0067924933551696e-05,,1.9488428745432397e-05,,,,5.8582308142940827e-05,-4.629507155895347e-05,-1.4200099306678223e-05,,,,-1.858183439869184e-05,-2.808418341996224e-05,-1.918980637485368e-05,,,,,,,,-3.696652680997357e-05,,7.226895614719741e-06,,0.0,3.751101886179065e-05,3.9445588227065485e-06
2014-01-09,1.2185908215739319e-05,1.052080174648533e-05,-1.1991602829327754e-05,,-3.1581758305955373e-06,,,7.433838834374071e-06,-2.1648957819170586e-05,-8.303049387056004e-05,,,0.00020028791387619702,,,-2.5479005299633102e-05,,2.5386733775945015e-05,,,-0.00038418764533414216,-0.0003233272071336192,0.00016337733629590904,,0.0001022759081024051,,,,1.079482280298369e-05,5.8214918896033444e-05,-7.323652179634494e-05,,,,4.1228612657184085e-05,2.4579467653420566e-05,0.0001497005988023952,,,,,,,,5.322687957418496e-05,,6.391351588250869e-05,,7.59493670886076e-05,2.8226500732477696e-05,-4.134570304881162e-05
2014-01-10,7.227798385337115e-05,3.793826500406482e-05,-1.4226480032549534e-06,,2.3259959421919317e-05,,,-8.710839332923925e-06,-8.044120391523427e-06,1.8847678422355512e-05,,,3.924415752604831e-05,,,2.4159841511439684e-05,,-1.1729140102686386e-05,,,9.680797697730291e-05,7.175402719477632e-05,-7.558578987150416e-05,,-5.252100840336135e-05,,,,-3.354209293076433e-05,2.9575517386707283e-05,-9.206281202960289e-06,,,,0.00011503209766596163,1.0491858317945274e-05,8.207520680792242e-05,,,,,,,,0.0,,-6.74935008413414e-05,,5.232862375719519e-05,-1.1167979170123423e-05,1.7671188737485148e-05
2014-01-13,-3.36089265308866e-05,7.98983724645891e-06,-7.812987420771237e-06,,1.0266379472450875e-05,,,3.7736988286438835e-06,1.0824987783228073e-05,6.198842518010601e-06,,,-5.0739099550113314e-05,,,-7.390163692125781e-06,,-3.786501878104932e-05,,,-8.540986056840263e-05,-4.8003072196620584e-05,-2.778163633838033e-05,,-8.023969200796619e-06,,,,-4.669212252012949e-05,-9.683401197836729e-06,4.459124595876133e-06,,,,-3.421288970619681e-05,-8.589958338702058e-06,-0.00019303833565856784,,,,,,,,-3.863191511280519e-05,,-3.332757675189437e-05,,0.0,-5.410279531109108e-05,5.2062277369881665e-06
2014-01-14,0.0,1.1482378393651422e-05,8.904819161250736e-06,,-1.0075657952256704e-05,,,-1.7858631076399224e-05,-2.6554782516331192e-05,1.1237273654922955e-05,,,6.420545746388443e-05,,,7.519927808693036e-05,,2.8732859607700368e-05,,,0.00011449944658600817,1.3719303059404583e-05,9.027552088975554e-05,,4.272627837024884e-05,,,,4.510294747761767e-05,0.0,-2.646436132674665e-06,,,,1.7435575548348853e-05,0.00014124293785310735,0.0001667692201526226,,,,,,,,0.0,,-4.373114094546727e-05,,2.952726843239732e-05,2.9014437584141868e-05,1.5488585415181268e-05
2014-01-15,3.337914784999018e-05,-7.137818551912153e-05,-8.076041825141724e-06,,-3.095323041294591e-05,,,-9.992405771613572e-06,-4.203446826397646e-06,-1.5483933245449958e-05,,,0.0001139211665527455,,,5.8978492509731454e-05,,3.1563265409186174e-05,,,0.0,-3.651067480854715e-05,6.220968812209689e-05,,2.6439288783131735e-05,,,,-9.500691175283003e-06,-8.983410635027317e-05,-1.5697364790995824e-05,,,,1.9118631106012812e-05,0.00023591397003892582,-2.0003928044052286e-05,,,,,,,,-2.1361670560316618e-05,,-8.135478496303238e-06,,-2.4187013992187594e-05,-5.5092133491480165e-05,-1.2577759270068762e-05
2014-01-16,6.380716058135413e-05,1.925644994848044e-05,1.795737038486128e-05,,-1.0560320635007425e-07,,,-2.3271941950467998e-05,-3.4279446044151926e-05,-7.772753893523849e-06,,,-5.994574909706715e-05,,,3.353678985847475e-05,,2.145775397398092e-06,,,-1.2883941455370026e-05,-0.00012207527975584943,-6.320541760722348e-05,,-1.1834319526627219e-05,,,,-1.707008978867229e-05,-5.109679265432509e-06,2.369553196669574e-05,,,,-4.232873144047929e-05,5.760416066623326e-05,-1.3799693991785733e-05,,,,,,,,-2.348765593193799e-05,,5.267678213569997e-05,,-3.0599487677149175e-05,-2.2590361445783133e-05,9.414517874025046e-06
2014-01-17,2.2137444010714522e-05,8.061041054565546e-06,1.4657426624922316e-06,,4.142973666731946e-06,,,1.3992798373103977e-05,8.24621210247073e-06,1.8012922237357993e-05,,,4.2075736325385694e-05,,,2.123683316343867e-05,,-2.2784810126582115e-05,,,4.167969157028238e-05,3.5237323372916594e-05,6.348257963329474e-05,,2.179941054393889e-06,,,,-4.764150718672136e-05,1.4458639615515855e-05,-3.7766252077143864e-05,,,,-4.393660241182656e-06,2.7132951462164607e-05,4.490698640440987e-05,,,,,,,,-7.0578105260186185e-06,,-3.799753016053957e-05,,9.610025178265967e-06,-1.7750008875004438e-05,1.6394069926971656e-06
2014-01-20,5.4332007373629574e-05,-5.7342212175693784e-08,3.537089434518147e-05,,4.044663665078126e-06,,,1.2546988471826992e-05,1.5952991850679997e-05,-7.955316415483425e-06,,,-3.98406374501992e-05,,,-0.00011613053071652537,,-1.3864818024263266e-05,,,-0.00019884497008680014,-0.00017580872011251758,8.742022904100009e-06,,-1.94916575705598e-05,,,,0.00014425851125216387,0.00011060785578235373,9.947012253701398e-06,,,,-6.77580225498699e-06,-6.606612558509813e-06,5.587008343265792e-05,,,,,,,,6.998114882803446e-05,,6.956715317295785e-06,,0.0,0.00010307659081538492,-2.5520481797696895e-05
2014-01-21,-2.2626295869672536e-05,-1.6467255592012053e-05,3.924570379921249e-06,,-1.254731270951644e-05,,,-1.4433069047802324e-05,3.6583581288717626e-05,-3.6774221073880753e-06,,,-0.00023931460297707367,,,-6.379585326953749e-05,,2.6314909814536297e-05,,,-9.345183025409552e-06,-7.672241829062452e-05,-8.276899924755455e-05,,-2.5859016641271786e-05,,,,0.0,-4.486069030249908e-05,-1.4292577274508172e-05,,,,-7.008690776562938e-05,-6.426157029573174e-05,-9.815506234734057e-05,,,,,,,,-3.023260208227047e-05,,-8.287677112099713e-05,,2.2461814914645103e-05,-2.0764252263303498e-05,1.933978088932194e-05
2014-01-22,2.931544253754471e-05,-4.526877884752932e-07,-5.455137019837573e-06,,-5.5816600036899635e-06,,,0.0,-1.9380971761924144e-05,1.813919633994577e-05,,,6.106745918658143e-05,,,2.035581972886048e-05,,7.600434310531975e-05,,,0.0,2.6801208734513923e-05,-6.864988558352403e-06,,1.6375054242367177e-06,,,,1.1665027082304543e-05,4.816433671687799e-06,1.528047263088689e-05,,,,5.110419122506967e-05,-8.915022761760243e-05,0.00017138675041457064,,,,,,,,5.792601689122653e-06,,-1.4454167280968776e-06,,-2.3593474988557163e-05,3.009328919650918e-05,3.941466702523945e-05
2014-01-23,1.905316955079351e-05,-3.3801303035471244e-07,-6.616382162233691e-06,,5.485662857459501e-06,,,1.303228749226208e-05,-2.6229766194421584e-05,-3.969795531444322e-06,,,0.0001573640314243866,,,0.0001960656166263643,,-1.598295151838039e-05,,,6.511076063837484e-05,6.183527083848628e-05,-2.4330900243309002e-05,,-4.19730700782378e-06,,,,4.2462428916260827e-05,-1.3633265167007499e-05,-3.927299013807467e-05,,,,8.128459213608519e-05,1.006829661201819e-05,-0.0001816538100830538,,,,,,,,-1.196062085190718e-06,,-2.4795499120999558e-06,,-1.970055161544523e-05,1.537935748462064e-05,4.128557962412618e-06
2014-01-24,-1.3960777196466528e-05,-8.300187916254424e-07,-2.1305757462692805e-05,,3.2886628998050385e-06,,,-4.390972161236498e-06,3.3532118610841706e-05,-2.911691560298746e-05,,,9.761494159372662e-05,,,-1.419698314108252e-05,,4.135082725026707e-05,,,0.000101364522417154,0.000135666802333469,-5.986303337962741e-06,,-1.5160703456640388e-05,,,,-3.591180061768297e-05,-2.5775093894984903e-05,3.4206236517938565e-06,,,,-4.49842555105713e-05,1.7290029877171628e-05,2.805704933364508e-05,,,,,,,,-3.804788961038961e-06,,1.6019479687299756e-05,,2.0034459269944305e-05,-4.730559175747369e-05,-2.0078241728123178e-05
2014-01-27,4.457930509779214e-06,-3.053008088788635e-05,-2.566876489363173e-05,,-6.533406027698696e-06,,,1.4574285131314308e-05,-1.5747039556563364e-05,-9.200255078227644e-06,,,6.577216521967902e-05,,,-2.025849844009562e-05,,-2.0526811617167204e-05,,,-4.303111149360988e-05,-6.917925729149372e-05,0.0,,7.3173631881751405e-06,,,,-2.91789765473976e-05,-6.809397908340808e-05,-6.070416125314282e-06,,,,-1.8506181064475535e-05,4.135734816683554e-05,-0.0002120244358162278,,,,,,,,-1.574575848630775e-05,,-3.598597986224567e-06,,0.0,-6.022962544701675e-05,-2.332755057789176e-06
