trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,7.61467703616464e-05,-2.4693914312909403e-05,-1.2966825996541097e-05,,5.87496876361482e-06,,,2.2142182333490787e-05,-4.0799673602611176e-05,-3.583171995858708e-05,,,-0.00019931237231551147,,,-1.4914243102162564e-05,,-0.0001660980251921852,,,0.00015165301789505612,0.0,3.737884581599889e-06,,5.163635612562093e-06,,,,-6.9782974947912e-05,-0.0001039859099092073,-1.2190795934507891e-05,,,,6.851755419738537e-06,-2.5801505333539742e-05,-0.0004875042541644821,,,,,,,,-5.505133164707633e-05,,1.7837235228539577e-05,,2.3122456529781724e-05,-4.304146654015084e-05,3.272856683185813e-06
2014-01-07,1.771479185119575e-05,-3.9699015213177574e-06,-4.375338575565802e-06,,3.82609187874828e-06,,,-7.521935845409174e-06,8.44621345692959e-05,-1.2085248622933561e-05,,,-7.301935012778386e-05,,,5.538851084032284e-05,,2.6442294979665875e-05,,,-5.7497038902496525e-06,0.000122844635039757,-4.662301057494649e-05,,-0.0001007913291329133,,,,-5.669335979023457e-06,5.208459927845469e-06,3.662681669010783e-06,,,,-5.9404999524760006e-05,-8.795165763006499e-05,-0.00030671083302662253,,,,,,,,-6.38799786458357e-05,,-6.373323815836435e-05,,-3.650834215618269e-05,-1.920816270082134e-06,9.29270014942472e-06
2014-01-08,-4.8400555251169835e-05,-7.508796331534983e-05,-2.0477609661151414e-05,,-2.287829057605099e-05,,,1.2648621300278269e-05,0.0001052431807594762,-3.518102485404144e-06,,,-7.355104442483084e-05,,,-1.1185682326621923e-05,,-9.804875964817144e-06,,,8.443093549476529e-06,-4.729530002955957e-05,-1.3128183584519245e-05,,1.9494364910143162e-05,,,,5.8582308142940827e-05,-5.482778202040377e-05,-1.4200099306678223e-05,,,,9.659036028204384e-05,-2.5913840798319054e-05,-9.68443275856225e-06,,,,,,,,-3.517782389981356e-05,,1.2048221802944103e-05,,0.0,2.4487297214569943e-05,-2.2603847500339965e-06
2014-01-09,3.013279955231269e-05,1.0997167237520304e-05,9.268997841080685e-06,,7.775084940235754e-06,,,1.1150758251561105e-05,-9.28298243659723e-06,-8.80298655829812e-05,,,0.00020645349331455012,,,-3.956739646531258e-05,,3.094024594682778e-05,,,-0.00037836159726803523,-0.0003179384203480589,0.0001607279740857051,,9.955415880771787e-05,,,,1.079482280298369e-05,-5.937114087584307e-06,-5.566936692340488e-05,,,,4.168670835337502e-05,1.561719140429785e-05,0.0001370141073784634,,,,,,,,5.8141745102117034e-05,,5.9314687229091574e-05,,9.44307640901596e-05,2.8510009864463413e-05,-3.138078748399239e-05
2014-01-10,7.227798385337115e-05,3.9859185566564284e-05,-3.8077212332229944e-06,,1.2917207302920935e-05,,,0.0,-8.095356827138225e-06,1.6657880997798138e-05,,,3.492229788720098e-05,,,3.6711168761242795e-05,,-1.2538541767592257e-05,,,0.00010560870215705774,5.381552039608223e-05,-9.070294784580498e-05,,-6.002400960384154e-05,,,,-3.6127167630057806e-05,2.9789832730089222e-05,-6.665025050799609e-06,,,,0.00011651390399254311,1.1215263525047048e-05,7.339196055829695e-05,,,,,,,,8.10630609817142e-06,,-1.7320141159150446e-05,,5.6066382596994845e-05,-1.781289977814843e-05,1.967434061948784e-05
2014-01-13,-3.248862897985705e-05,1.0916382214212318e-05,-6.552289214587197e-06,,7.848978615507466e-06,,,-1.0973395003813255e-05,8.678807740107894e-06,1.3359752910908465e-05,,,-4.231622065370098e-05,,,-7.3427908479454876e-06,,-3.884653537462721e-05,,,-4.557937077678643e-05,-4.8777315296566075e-05,-2.4906600249066003e-05,,-1.296779286544456e-05,,,,-6.148800983808158e-05,-1.6363933889707085e-05,-2.905658911844109e-06,,,,-1.765302970122247e-05,6.442468754026542e-06,-0.00018110200570471317,,,,,,,,-2.9878097362759938e-05,,-3.884287087658649e-05,,-1.3061650992685476e-05,-3.943101051822206e-05,-8.161556231348184e-07
2014-01-14,6.25865780997046e-06,1.0740875843710458e-05,1.1119018295029193e-05,,-5.2987166599439515e-06,,,-1.3488966025790904e-05,-2.6554782516331192e-05,1.0690387415575036e-05,,,-7.49462260827856e-06,,,6.634316475851088e-05,,2.8023406284053275e-05,,,4.770810274417007e-05,0.0,0.00010340386730463719,,4.4941511832458045e-05,,,,4.1869033662703066e-05,-1.3523016173527343e-05,-2.5773170637762545e-05,,,,2.3085993550128573e-05,0.00014124293785310735,0.00017173563791479698,,,,,,,,1.271365293761665e-06,,-4.504546485366437e-05,,0.00010661738574170163,3.1432307382820355e-05,-1.46414328096878e-06
2014-01-15,3.140888478828449e-05,-6.108025747702979e-05,-3.071272816792424e-06,,-3.11458346107955e-05,,,-1.3506091247152467e-05,-4.1687075964274175e-06,-1.7070259012615098e-05,,,0.00010874293170943889,,,6.981127684825355e-05,,2.6849507099574608e-05,,,0.0,-4.6428704082011664e-05,3.075873408235511e-05,,3.466877452815798e-05,,,,-1.1779312229517543e-05,-8.983410635027317e-05,-2.2348095563856636e-05,,,,3.607288887926945e-06,0.00026746624998240354,-1.432055121847433e-05,,,,,,,,-1.8917466875515504e-05,,-8.089515340956893e-06,,-1.3010668748373666e-05,-4.30811649146993e-05,-8.950347394805023e-06
2014-01-16,6.212664277180407e-05,1.9752525264836892e-05,1.5058658685814993e-05,,-5.564880584422348e-07,,,-1.9608765902709147e-05,-1.5980908141740003e-05,-3.3997935902055477e-06,,,-5.0968399592252805e-05,,,6.334726973267453e-05,,2.5136048864480627e-06,,,-5.599552035837132e-05,-0.00011090722106833901,-3.767329716696805e-05,,-7.22032087105951e-06,,,,-1.667767393146143e-05,5.190652672667061e-06,2.6284739735815467e-05,,,,-4.6095542890256396e-05,6.30665708785996e-05,-3.5326326945155878e-06,,,,,,,,-2.231899622283811e-05,,4.80824270177447e-05,,-2.682763246143528e-05,-7.536930961712391e-06,2.2302789057795822e-05
2014-01-17,2.9133709158181475e-05,1.1804204664844936e-05,-2.9058802588010693e-06,,7.796238203616894e-06,,,1.3840702738613716e-05,9.897952113707674e-06,1.80357666389108e-05,,,2.759595112205137e-05,,,3.27653997378768e-05,,1.1845351214663281e-05,,,6.440532417346501e-05,-4.441154700222058e-05,6.021466528172937e-05,,0.0,,,,-6.604845314522734e-05,8.742685286643507e-06,-3.872329808396041e-05,,,,-7.433860939223727e-06,3.5214491467528717e-06,-7.440992926096058e-05,,,,,,,,-1.7905231192345154e-05,,0.0,,9.381215054973921e-06,-1.7900432679029898e-05,-8.627293622109977e-06
