trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,9.131181157416346e-05,8.68681259153196e-06,-1.0243033763327761e-05,,3.316598946711745e-05,,,2.270132835201328e-05,-3.8089537620220106e-05,-3.5297137723013736e-05,,,-0.00024162670532693953,,,-4.4055451127819546e-05,,-0.00017124915514912974,,,8.681912104321855e-06,-5.9537985234579665e-06,-3.6357781344303e-05,,7.357918591988699e-06,,,,-5.5730293245836776e-05,-9.982450208504404e-05,-1.6867679996445108e-05,,,,0.0,-7.043940098333404e-06,-0.0004493178145872757,,,,,,,,-5.590850174343246e-05,,2.195765685452174e-05,,3.721266506475004e-05,-5.107020450779672e-05,6.821804965189407e-06
2014-01-07,2.144342866128675e-05,-1.0182837096889366e-05,-5.896835424165455e-06,,4.319720898330551e-06,,,-4.572921770374e-05,9.501990139045789e-05,-9.084027253586916e-06,,,-0.00022857142857142857,,,5.538851084032284e-05,,2.623415981430412e-05,,,2.103609794407203e-05,0.00010888501742160279,-3.874437237991182e-05,,-9.613220288115246e-05,,,,-1.6405948797033805e-05,-5.216647365071416e-06,1.1366477983132147e-05,,,,-5.318278514154802e-05,-7.869760706809441e-05,-0.00028770906858984196,,,,,,,,-6.386628225247255e-05,,-6.321569194090236e-05,,-4.845242940481035e-05,-1.885369532428356e-06,1.8181818181818182e-05
2014-01-08,-3.186028020423825e-05,-6.401613744284849e-05,-2.0705416489413696e-05,,-4.231314783721622e-05,,,7.795386690156765e-06,0.00013067542332514153,-5.540504533947136e-06,,,-8.001707030833244e-05,,,-5.483177611089179e-06,,-1.2045008654692501e-05,,,0.0,-4.790648653827729e-05,-1.715054058503924e-05,,9.58200882023912e-06,,,,6.240549168326813e-05,-6.082133125729856e-05,-1.766058451210261e-05,,,,7.389344565137072e-06,-3.0402661535855597e-05,-1.873650386206186e-05,,,,,,,,-3.633456870866943e-05,,1.4214876816246657e-05,,3.552871164009415e-05,-3.594432942259029e-06,4.0398813430582935e-06
2014-01-09,-3.984619369234754e-06,1.216908359164829e-05,8.56235640721889e-07,,-3.3680540380945004e-06,,,7.430690236816097e-06,-7.677484241963593e-06,-8.221270628561005e-05,,,0.00020645349331455012,,,-2.2699070851366482e-05,,-1.4045151465870113e-05,,,-0.00039871215972409117,-0.0003285870755750274,0.0001823857756061146,,0.00010134792743488397,,,,1.3623606986185662e-05,6.254495418582106e-05,-7.152361891009577e-05,,,,2.4533405297988876e-05,2.0102657571330932e-05,0.0001332669513047589,,,,,,,,9.652076318742984e-05,,6.739180246114863e-05,,8.401478660244204e-05,2.588773352892954e-05,-3.403711943961424e-05
2014-01-10,6.253226398727004e-05,4.845528217430736e-05,-1.9019935489564252e-06,,1.5472265052568954e-05,,,0.0,-9.589796456570208e-06,3.02400492092659e-05,,,6.984459577440196e-05,,,0.0,,-1.4749374097073916e-05,,,0.00016384351683807217,5.381552039608223e-05,-9.718172983479105e-05,,-5.29623614151543e-05,,,,-1.921134237653911e-05,3.291812603692097e-05,-9.206281202960289e-06,,,,0.0001187771888408831,1.3701132626963829e-05,8.246666972098777e-05,,,,,,,,6.2531786991720794e-06,,-2.0005139782067085e-05,,9.811616954474097e-05,-7.979521356390957e-06,1.6401651797189322e-05
2014-01-13,-4.478280340349306e-05,2.0704258397186122e-05,-3.039848104883995e-06,,1.7187598715142903e-05,,,-2.6955146635997702e-05,1.229643633904349e-05,1.5519862416058385e-05,,,-4.6796761664092844e-05,,,-1.487630353609735e-05,,-3.9680831602620445e-05,,,-1.0426441455531227e-05,0.0,-3.107684371144529e-05,,-1.585585128479963e-05,,,,-4.627891789605755e-05,-1.4722481228836432e-05,-2.954350694664532e-07,,,,-3.2746623004502656e-05,-4.322315031931102e-06,-0.00013944192243930403,,,,,,,,-3.5949004702783435e-05,,-2.4550119068077477e-05,,0.0,-5.111244738424534e-05,3.321529847787491e-06
2014-01-14,4.016161031992738e-06,1.2049672213852364e-06,6.530651985297116e-06,,-8.995088691633024e-06,,,-1.6913319238900633e-05,5.226703016643913e-05,1.0853955483447e-05,,,6.420545746388443e-05,,,6.634316475851088e-05,,9.715423806789055e-06,,,0.00010743157951279778,2.5701985478378206e-05,7.673419275629221e-05,,3.6188178528347406e-05,,,,4.0854026786031474e-05,-6.7638252588290465e-06,-5.113886246714328e-06,,,,2.7759271596713303e-05,0.0001366867140513942,0.00018061340828789775,,,,,,,,0.0,,-4.894067127656215e-05,,1.2837464857439953e-05,1.7398162754013176e-05,7.231651407668756e-06
2014-01-15,3.1697039694599026e-05,-6.247731617275508e-05,-4.028731556720974e-06,,-4.204572423112831e-05,,,-8.695702583783096e-06,-1.2191256430887767e-05,-1.7217785994374368e-05,,,8.853474988933156e-05,,,-2.1264606126333025e-05,,-1.2270680698483002e-05,,,4.200833445355558e-06,-4.2659841092091936e-05,5.950491907331006e-05,,1.5701545032031152e-05,,,,-7.432181345224824e-06,-9.161299954532809e-05,-2.363105917558737e-05,,,,1.9118631106012812e-05,2.8672759995765254e-05,-1.2278425578416165e-05,,,,,,,,-1.1103708638685321e-05,,-6.508382797042591e-06,,-2.666773337600171e-05,-4.001581801747514e-05,-1.0941383472186258e-05
2014-01-16,6.380716058135413e-05,2.510421321944218e-05,1.7837938985809028e-05,,-1.7218730508701297e-08,,,-1.9428868967821904e-05,-3.613743394651988e-05,-1.4920028646455001e-05,,,-5.829586609439558e-05,,,3.305074942574323e-05,,3.2452898224108574e-06,,,-1.6877209859666e-05,-0.00011980352222355337,1.3535316347413673e-05,,6.876349483586154e-06,,,,-2.1233526322494798e-05,5.4941029961175e-06,1.5075469940781043e-05,,,,-3.821534346039935e-05,6.309027120587452e-05,-6.978464458680512e-06,,,,,,,,-2.2860062797937214e-05,,5.037206639954207e-05,,-2.6849550461812267e-05,-3.5846919315754004e-05,2.4808784505542048e-05
2014-01-17,2.5186696386968404e-05,1.5953469568447122e-05,3.70715134301977e-06,,3.0922084415892175e-06,,,1.414827391058291e-05,8.948017387787388e-06,3.411378083032944e-06,,,5.5236411842686694e-05,,,5.74300071787509e-06,,-2.5734336871552187e-05,,,8.847600088476001e-05,8.316008316008316e-05,9.099181073703367e-05,,-2.211821744861938e-06,,,,-5.239043255446224e-05,-5.674193484323622e-06,-3.7766252077143864e-05,,,,-7.318544019578569e-06,2.691588785046729e-05,-9.086203288654911e-05,,,,,,,,-1.8316935315051286e-05,,-1.18093382342087e-05,,9.610025178265967e-06,-2.4915474253594683e-05,4.149434743666871e-07
2014-01-20,4.822695035460993e-05,5.795844037629527e-06,3.913723323144935e-05,,3.0526392110139932e-06,,,1.497416955751329e-05,5.255634039690548e-06,-1.1523900512782111e-06,,,0.0,,,-7.819015846538783e-05,,-1.3033221682067263e-05,,,-5.9838436222200064e-05,-0.00017580872011251758,1.784524602645855e-05,,-2.0256036298817048e-05,,,,0.00012222126362407615,0.0003635922918434129,6.422294065935255e-06,,,,-1.5687645530925952e-05,-3.479446907119644e-05,7.739082365948037e-05,,,,,,,,7.148334438075928e-05,,6.956715317295785e-06,,0.0,0.00010646172784057357,-2.7375761333728602e-05
2014-01-21,-2.22000222000222e-05,-1.4561498822355778e-05,2.5450862020696644e-06,,2.973889252364073e-06,,,-7.560179025039313e-06,4.072881301692864e-05,1.291319429382176e-06,,,-0.00022601934725612513,,,-5.0413389796329905e-05,,2.6730955819509203e-05,,,-1.8444484407493994e-05,-2.337540906965872e-05,-8.208495793145906e-05,,-5.1943607575211293e-05,,,,1.451105016470042e-05,-3.238055988931736e-05,-1.4292577274508172e-05,,,,-4.761383277069654e-05,-6.482036655917289e-05,-9.941346058256288e-05,,,,,,,,-3.9116743922235916e-05,,-8.047469339141816e-05,,0.0,-1.2037667581529402e-05,-4.886148963032345e-06
2014-01-22,6.88098645821865e-06,-2.824371343682893e-06,-1.367994877517623e-06,,-3.282136546276739e-06,,,-2.5072710861498343e-06,-1.9385856079404466e-05,3.3072446485960445e-05,,,6.785273242953494e-05,,,1.976388742489723e-05,,7.881004112671685e-05,,,1.2876310164559245e-05,2.950583625441112e-05,-1.4408080051292765e-05,,-1.7548908808850266e-05,,,,-5.482957141551677e-06,9.848966104783151e-06,1.0331881442260269e-05,,,,4.4277325921990164e-05,-9.611035730438715e-05,0.00014829686751386006,,,,,,,,-7.18122540430299e-06,,-1.4382611997399623e-06,,-2.331426226679909e-05,2.329067610715405e-05,4.056191970381069e-05
2014-01-23,4.26075841499787e-05,8.301979950267433e-07,-6.661165388868795e-06,,9.180886317991502e-06,,,3.0916010474344346e-06,-9.587145555239534e-06,-2.424467339525841e-06,,,0.00016684145295071026,,,0.0001742805481123238,,-1.753735544396341e-05,,,5.5712634232628104e-05,6.805151499685262e-05,3.013439942141953e-05,,-6.207838430658444e-06,,,,4.2462428916260827e-05,-1.377097491616919e-05,-3.927299013807467e-05,,,,5.0354495649371575e-05,9.981500951569757e-06,-7.233734734692142e-05,,,,,,,,5.989688152876008e-06,,0.0,,0.0,2.2187356376487744e-05,2.251528378468089e-06
2014-01-24,-1.3847274942836718e-05,-3.494399828870294e-06,-1.4642336526447315e-05,,7.417382978208024e-07,,,0.0,3.469537461091615e-05,-2.5946949417733002e-05,,,0.00010556875164951173,,,-7.1428571428571436e-06,,3.857718835294549e-05,,,0.00010613457864572278,0.0001048712705154423,-1.7958910013888226e-05,,-1.924585131617566e-05,,,,-3.7696729808689094e-05,-4.635065817934614e-05,5.354154814341744e-06,,,,-1.2874983906270117e-05,3.0761658668635414e-05,-7.986582541330564e-06,,,,,,,,-1.2834136750293902e-06,,1.4206275114664934e-05,,1.290822253775655e-05,-6.161856567383753e-05,-3.0039360171831367e-05
2014-01-27,4.0101858721151725e-06,-2.745206884206332e-05,-2.726082056332424e-05,,-8.950554130462396e-06,,,6.505122784192551e-06,-1.5747039556563364e-05,-2.3448895881595386e-05,,,0.00011275228323373549,,,-2.1383970575656488e-05,,-1.638506323387686e-05,,,-3.3738191632928474e-05,-8.08865162177465e-05,8.915569556301822e-06,,7.229730096101187e-06,,,,-2.6441580266354853e-05,-4.227559787451301e-05,-2.5539018529550226e-06,,,,-1.6660355925785687e-05,3.6173841145160456e-05,-0.00023219004264448108,,,,,,,,-1.955401209220108e-05,,-1.4193104280285422e-05,,-1.7923716661887008e-05,-5.274887578958473e-05,5.911288439246849e-06
