trading_date,A,AG,AL,AP,AU,BC,BU,C,CF,CU,EB,EG,FG,FU,HC,I,IC,IF,IH,IM,J,JM,L,LU,M,MA,NI,NR,OI,P,PB,PF,PG,PP,RB,RM,RU,SA,SC,SF,SI,SM,SN,SP,SR,SS,TA,UR,V,Y,ZN
2014-01-06,6.439778315510109e-05,8.76530752364804e-05,5.70316183292017e-06,,3.042496514632571e-05,,,2.5673940949935813e-05,-3.9958443219052184e-05,-1.6543965588551575e-06,,,-0.00021290185224611454,,,-7.19243355989499e-05,,-0.00016614152912754196,,,-8.669718407546123e-06,2.886002886002886e-05,-6.548917136551471e-06,,0.0,,,,-5.642624384601278e-05,-0.00010505029282769125,-1.3774232090967127e-05,,,,2.1941517080373968e-06,-1.0765266942735956e-05,-1.138627953316254e-05,,,,,,,,-5.643060615499908e-05,,1.3156250205566409e-05,,7.649270041087508e-05,-5.7842963584239234e-05,-8.089530926046752e-06
2014-01-07,1.8980134126281158e-05,2.894332852022838e-06,1.084684235108997e-06,,3.5165697078848935e-06,,,-3.729562000238692e-06,0.00013795481979651664,3.238761087001289e-05,,,-0.0001642935377875137,,,6.474010892523327e-05,,2.7528683843171846e-05,,,5.277713272393338e-06,9.229349330872173e-05,-5.230490271288095e-05,,-0.00010367783477027175,,,,-5.647529609190951e-05,1.6852039096730706e-05,2.1216721981839593e-05,,,,-5.318278514154802e-05,-7.902858068620516e-05,-0.00021367521367521368,,,,,,,,-6.720555565926783e-05,,-6.618890312953169e-05,,-3.879239281176961e-05,-3.130086390384374e-05,2.0859104614276942e-05
2014-01-08,-2.9475669939869634e-05,-8.548514110946537e-05,-2.0717262645906724e-05,,-3.9797257055440985e-05,,,7.892223791897843e-06,0.00013489075956143643,2.439680356781993e-05,,,-7.191657677094571e-05,,,-1.1020376676474801e-05,,-7.80076560968592e-06,,,-4.168924834285238e-06,-3.245278120334913e-05,-7.428123618833264e-06,,9.652183565227043e-06,,,,7.665253855171792e-05,-5.7450510488821774e-05,-1.2581625526668014e-05,,,,2.2764523766162814e-05,-2.592386161842668e-05,-3.266650115639414e-05,,,,,,,,-4.361098996947231e-05,,3.6367603738589666e-05,,1.8806890844805536e-05,-3.2858419641448923e-06,5.853102506580139e-06
2014-01-09,9.61202040824173e-06,4.054826630567455e-06,-8.594619257053318e-06,,-4.671753287692809e-06,,,4.813060721574063e-06,-1.077841729720408e-05,-7.937839536482085e-05,,,0.0001943091701784001,,,-4.7651950156060136e-05,,2.851073345259341e-05,,,-0.0004676893473729221,-0.00022960447607883893,0.00016787396023065884,,0.00010137875101378751,,,,3.580379520229145e-05,7.277561337712808e-05,-7.162540764691302e-05,,,,3.448665053109442e-05,0.0,0.0001371434270895671,,,,,,,,8.066467693796885e-05,,6.092916984006093e-05,,9.048750141386722e-05,3.779860901118839e-05,-3.126607715899369e-05
2014-01-10,4.6230482068351766e-05,4.437841476476051e-05,1.1547184103684475e-06,,1.5472265052568954e-05,,,-8.894225424143375e-06,-9.652944469828113e-06,9.706371467584352e-06,,,2.4604634282867176e-05,,,8.978353190457806e-06,,-1.3240192989053009e-05,,,9.673731422038519e-05,4.3821209465381244e-05,-0.00011678345011678346,,-5.46000546000546e-05,,,,-2.8968713789107764e-05,2.7497250274972504e-05,8.625387841262252e-06,,,,0.00018094962362478288,1.7604394056756568e-05,7.256173476012618e-05,,,,,,,,4.089778824761157e-06,,3.8426976920166474e-05,,0.0,-1.1167979170123423e-05,1.5433059491804484e-05
2014-01-13,-3.4821208235367146e-05,2.6630749297101858e-05,-1.0817591670437975e-05,,1.5063170633875435e-05,,,-1.091687166125675e-05,1.4817839361449908e-05,1.4880904929087173e-05,,,-4.6301557836959584e-05,,,-1.5171859235490014e-05,,-2.9351842259747323e-05,,,-7.819831091648421e-05,-3.258390355164549e-05,-3.7083523505248744e-05,,-2.3508834620050215e-05,,,,-6.86474578598219e-05,-3.905029678225555e-06,2.5974756514596195e-05,,,,-2.7873343527013255e-05,-2.1372773224189704e-06,-0.00019452225334578275,,,,,,,,-2.8992977256620065e-05,,-2.838366703621088e-05,,0.0,-5.0110242533573865e-05,1.3461959914487292e-05
2014-01-14,0.0,2.4308315414976264e-06,-5.357332770077766e-06,,-1.700181919554976e-05,,,-2.2244961516216577e-05,-1.785081310453691e-05,2.030390311070115e-05,,,4.8718698236383124e-05,,,6.579936832606408e-05,,9.714541067936903e-06,,,5.703530485370444e-05,1.390723871775259e-05,9.905746819017052e-05,,5.225752508361204e-05,,,,8.635280301198578e-05,-3.569796664381997e-05,-5.8251227973310614e-05,,,,4.6222112658695915e-05,9.819967266775777e-05,0.0001528117359413203,,,,,,,,1.2339150361360832e-05,,-4.894067127656215e-05,,1.2837464857439953e-05,6.846540500139783e-05,5.869540527809872e-06
2014-01-15,3.055039593313129e-05,-3.842358270284255e-05,-6.857848907137309e-06,,-3.0957589000955724e-05,,,-1.2000336009408264e-05,-2.6156941649899397e-05,-4.912410247008438e-06,,,8.661008141347653e-05,,,-2.9137529137529138e-05,,5.037681860315157e-05,,,8.337038683859493e-05,-3.318510652419194e-05,3.257116800208455e-05,,1.631188320691624e-05,,,,2.2065475621327018e-05,-6.632912511883968e-05,-1.480732788020748e-05,,,,3.5177576405695954e-06,2.440344665406561e-05,-2.228332805961236e-05,,,,,,,,-1.6651911223110632e-05,,-6.583191794709747e-06,,-9.077210754679303e-06,-7.331019989247837e-05,-2.152595834380943e-06
2014-01-16,7.638425239620229e-05,1.9719092262054725e-05,1.338662792287122e-05,,4.3248387149759845e-06,,,-2.0967789282104827e-05,-1.543344839826528e-05,1.279995324520975e-05,,,-6.558284935619503e-05,,,3.305074942574323e-05,,3.934985454863344e-06,,,-2.108130214987119e-05,-8.96700143472023e-05,-9.22194453922554e-06,,-1.419698314108252e-05,,,,-2.149566862277251e-05,1.6296730875786316e-05,-6.871096561724701e-05,,,,-4.1853127716428966e-05,6.076810889645115e-05,-9.900009900009899e-05,,,,,,,,-2.192971140499791e-05,,4.845632008860585e-05,,-2.671857704492538e-05,-2.9376987536813037e-05,1.5448493534211283e-05
2014-01-17,2.9780053036856363e-05,9.082286981636425e-06,6.407791874919903e-06,,6.6201242356476866e-06,,,6.288121738036848e-06,-3.080477474008471e-05,2.3414501408134095e-06,,,5.468425312247085e-06,,,5.74957165691156e-06,,-7.710202504738006e-05,,,0.0,7.337654396477926e-05,0.0001116935130003271,,-1.8183074466963171e-06,,,,-4.28898208158597e-05,-1.8829732147060208e-05,-5.607716217515301e-05,,,,-5.475012045026499e-06,2.67022696929239e-05,-7.171741133245434e-05,,,,,,,,-2.0685625042017675e-05,,-2.5244329041797397e-05,,1.1098902318560696e-05,-2.9394689849278728e-05,-8.074831989173213e-06
